Datum,Warengruppe,Umsatz,wochentag,m,y,r_mean,perc
2020-01-02,1,242.772581167867,Thursday,1,2020,6182.649146987899,1.2275642497566606
2020-01-03,1,132.758575323695,Friday,1,2020,6146.625094662865,1.2317012277240704
2020-01-04,1,147.65246817934,Saturday,1,2020,6093.163668317735,1.2346415289371258
2020-01-06,1,328.46642555291,Monday,1,2020,6221.98131240728,1.2452552944037114
2020-01-07,1,241.550316211098,Tuesday,1,2020,6176.975235328466,1.2485138170709151
2020-01-08,1,246.879457965355,Wednesday,1,2020,6187.090246486843,1.2480638596048745
2020-01-09,1,259.090454888018,Thursday,1,2020,6219.956595921465,1.2438226652718012
2020-01-10,1,194.3535869237,Friday,1,2020,6165.472124570877,1.244418853023801
2020-01-11,1,197.503790395009,Saturday,1,2020,6202.401652506759,1.2676567854104186
2020-01-13,1,267.941109181704,Monday,1,2020,6202.271204711436,1.271312076727324
2020-01-14,1,232.692944688849,Tuesday,1,2020,6159.194514552053,1.2593903193576188
2020-01-15,1,187.013719958344,Wednesday,1,2020,6061.680150670074,1.2317255040334159
2020-01-16,1,223.014142936023,Thursday,1,2020,6067.669762457296,1.2089788630848026
2020-01-17,1,182.308031501945,Friday,1,2020,6023.1434546838245,1.1895950125717913
2020-01-18,1,164.356852378547,Saturday,1,2020,5991.252862626494,1.173059372486095
2020-01-20,1,292.289446888454,Monday,1,2020,6090.325210708513,1.1876338148323335
2020-01-21,1,220.914424613956,Tuesday,1,2020,6027.0960954523935,1.174950271988328
2020-01-22,1,204.115188198834,Wednesday,1,2020,5975.08844749887,1.1637952745588604
2020-01-23,1,222.940162418783,Thursday,1,2020,5915.660332432694,1.1502037979033521
2020-01-24,1,156.778927108888,Friday,1,2020,5820.243435891989,1.1469543925252943
2020-01-25,1,175.938886044191,Saturday,1,2020,5792.532267234695,1.121736769916941
2020-01-27,1,252.781799902274,Monday,1,2020,5796.287481690091,1.1139162207129036
2020-01-28,1,227.780938363923,Tuesday,1,2020,5804.545658330998,1.1069076648109593
2020-01-29,1,217.509209103835,Wednesday,1,2020,5901.3048012445015,1.1190139555017946
2020-01-30,1,222.88513361204,Thursday,1,2020,5927.130047057055,1.123274741005572
2020-01-31,1,142.784774296956,Friday,1,2020,5939.285111569038,1.1406529524968891
2020-02-01,1,159.663473949062,Saturday,2,2020,5926.297515169308,1.1253063284055178
2020-02-03,1,338.813305956086,Monday,2,2020,6083.5501277096855,1.141471412027011
2020-02-04,1,252.701265492608,Tuesday,2,2020,6093.478812034427,1.1467350719438418
2020-02-05,1,202.239503771701,Wednesday,2,2020,6162.959740482433,1.1472660881932317
2020-02-06,1,442.157065491363,Thursday,2,2020,6457.464337794456,1.2116320549514517
2020-02-07,1,218.040027323698,Friday,2,2020,6347.037939565244,1.1990456218517407
2020-02-08,1,196.128778638439,Saturday,2,2020,6301.616401992585,1.1795202379456518
2020-02-10,1,246.909697518782,Monday,2,2020,6301.646641546012,1.178667057749553
2020-02-11,1,164.457229642351,Tuesday,2,2020,6207.013416300345,1.1603271631256928
2020-02-12,1,204.575867970363,Wednesday,2,2020,6217.235697347008,1.1547069099809946
2020-02-13,1,190.093040871901,Thursday,2,2020,6209.8249478239,1.1406781663970385
2020-02-14,1,190.580345825051,Friday,2,2020,6132.464184467247,1.113392885565209
2020-02-15,1,213.398748786021,Saturday,2,2020,6113.169988564419,1.102364132726428
2020-02-17,1,296.358320000083,Monday,2,2020,6222.514588606158,1.1377079478019185
2020-02-18,1,246.412385000257,Tuesday,2,2020,6245.912830670392,1.1510944908900527
2020-02-19,1,184.798753657577,Wednesday,2,2020,6248.403552826024,1.1776968680002586
2020-02-20,1,244.491099992723,Thursday,2,2020,6328.5378004402,1.2070628484701136
2020-02-21,1,248.624841407872,Friday,2,2020,6284.873194959618,1.1816721179790772
2020-02-22,1,139.993665759966,Saturday,2,2020,6203.952436105628,1.1620708699088442
2020-02-24,1,202.768622224891,Monday,2,2020,6202.605870131685,1.1565325725901296
2020-02-25,1,186.287945151238,Tuesday,2,2020,6165.95365286414,1.1362026903046247
2020-02-26,1,210.180318877666,Wednesday,2,2020,6219.355044632918,1.1447619443582762
2020-02-27,1,212.856312252754,Thursday,2,2020,6256.272470841481,1.1670648188876067
2020-02-28,1,303.230910691725,Friday,2,2020,6306.721581630932,1.1409121243571734
2020-02-29,1,210.207880113154,Saturday,2,2020,6289.148523380163,1.119234627309381
2020-03-02,1,304.003331747797,Monday,3,2020,6375.6426460241255,1.1078932520976283
2020-03-03,1,224.837896212439,Tuesday,3,2020,6377.595408624524,1.0853492890663698
2020-03-04,1,275.301910568939,Wednesday,3,2020,6510.112544896507,1.0955955755297149
2020-03-05,1,203.905870876033,Thursday,3,2020,6554.354941823478,1.1015371906745806
2020-03-06,1,179.382659369966,Friday,3,2020,6394.924295237358,1.0495870961196103
2020-03-07,1,240.289036418933,Saturday,3,2020,6382.512066163683,1.0312888529019453
2020-03-09,1,314.609029598374,Monday,3,2020,6494.881591990356,1.0296936022873064
2020-03-10,1,243.597113647948,Tuesday,3,2020,6296.321640146941,0.9779977414331221
2020-03-11,1,216.177182569557,Wednesday,3,2020,6294.4587953928,0.9566850521888105
2020-03-12,1,151.674010089557,Thursday,3,2020,6250.004026843918,0.9322215423731814
2020-03-13,1,209.280579743538,Friday,3,2020,6212.374909068674,0.9177098769434677
2020-03-14,1,141.148625384203,Saturday,3,2020,6189.066304810526,0.9034748464194386
2020-03-16,1,234.851039027411,Monday,3,2020,6219.3414758675735,0.8957158746345314
2020-03-17,1,189.66828542452,Tuesday,3,2020,6218.916720420193,0.8931501917171896
2020-03-18,1,169.361874359154,Wednesday,3,2020,6197.698248954296,0.8930916503174944
2020-03-20,1,162.821313758161,Friday,3,2020,6147.120813926436,0.8801335563382447
2020-03-21,1,102.470784273487,Saturday,3,2020,5953.23327819984,0.847310617809829
2020-03-23,1,193.219754829239,Monday,3,2020,5900.040648028822,0.8411391319143969
2020-03-24,1,104.008635601936,Tuesday,3,2020,5819.250529973181,0.8258144983334454
2020-03-25,1,147.544969890208,Wednesday,3,2020,5722.304399870666,0.8105314733849189
2020-03-26,1,154.614654565449,Thursday,3,2020,5628.294213028243,0.8068258032482563
2020-03-27,1,114.812065577022,Friday,3,2020,5603.112612845299,0.7965205989930544
2020-03-28,1,85.3598020426651,Saturday,3,2020,5485.703792663073,0.7820128120633375
2020-03-30,1,178.928138730004,Monday,3,2020,5478.343986241839,0.7821849827852063
2020-03-31,1,150.19790898591,Tuesday,3,2020,5418.361576350083,0.7683871405022058
2020-04-01,1,116.720247849537,Wednesday,4,2020,5322.225511946866,0.751916325882554
2020-04-02,1,113.886716962984,Thursday,4,2020,5132.881318218125,0.7458195555084272
2020-04-03,1,175.100103880626,Friday,4,2020,5097.773541985597,0.7529903316308184
2020-04-04,1,72.1688723275954,Saturday,4,2020,4865.939082565395,0.7280886477407502
2020-04-06,1,144.610996638871,Monday,4,2020,4785.712182991828,0.7284283729187504
2020-04-07,1,183.411303588411,Tuesday,4,2020,4693.8215760113,0.7238634418211973
2020-04-08,1,147.350372999957,Wednesday,4,2020,4637.266078135223,0.7239577543362752
2020-04-09,1,188.838534716283,Thursday,4,2020,4646.72195348154,0.7433497692054335
2020-04-17,1,125.251343266794,Friday,4,2020,4531.684260329402,0.736668645093111
2020-04-18,1,102.492811844543,Saturday,4,2020,4319.568042575571,0.7193694422373986
2020-04-20,1,192.28007573325,Monday,4,2020,4268.251004660872,0.7222194622801003
2020-04-21,1,145.819634660383,Tuesday,4,2020,4197.893456751698,0.716105056836165
2020-04-22,1,153.794823675856,Wednesday,4,2020,4200.014270337998,0.7240528656554902
2020-04-23,1,134.483677195044,Thursday,4,2020,4125.217367789503,0.7192678996086385
2020-04-24,1,162.611621026341,Friday,4,2020,4146.680363431641,0.7290751766491455
2020-04-25,1,123.590322249681,Saturday,4,2020,4035.4196466539115,0.7133178704401952
2020-04-27,1,233.168205357593,Monday,4,2020,4078.9195665869843,0.7233080500961575
2020-04-28,1,137.184929453835,Tuesday,4,2020,4046.7426216816657,0.7173916532731808
2020-04-29,1,134.403713084087,Wednesday,4,2020,4018.3250210075917,0.7297040447801396
2020-04-30,1,147.78615812631,Thursday,4,2020,4063.6403948604143,0.6941007232787594
2020-05-02,1,145.274469358019,Saturday,5,2020,4015.6951093891944,0.6874535469735609
2020-05-04,1,200.300921181255,Monday,5,2020,4111.987394968513,0.7060158467525695
2020-05-05,1,168.384251251637,Tuesday,5,2020,4132.8266763299425,0.7004542142747814
2020-05-06,1,170.640971167136,Wednesday,5,2020,4148.852992931629,0.6946676130751798
2020-05-07,1,158.052034467271,Thursday,5,2020,4192.092961821879,0.7033644422568288
2020-05-08,1,187.022685154109,Friday,5,2020,4293.755844933323,0.7177889777010368
2020-05-09,1,111.383397235621,Saturday,5,2020,4226.211103438939,0.7064461740369711
2020-05-11,1,189.989364438205,Monday,5,2020,4266.002558891234,0.7105861092852268
2020-05-12,1,173.523173221281,Tuesday,5,2020,4322.805484262978,0.7136886216973009
2020-05-13,1,155.703611227709,Wednesday,5,2020,4364.622378527703,0.7142079070803776
2020-05-14,1,159.573828777303,Thursday,5,2020,4349.09610342438,0.7099262078886889
2020-05-15,1,135.483798755981,Friday,5,2020,4412.411029852766,0.7258240625567772
2020-05-16,1,135.46076992494,Saturday,5,2020,4403.260803138835,0.7249879254174174
2020-05-18,1,149.908781940461,Monday,5,2020,4369.758281490885,0.7171007974464229
2020-05-19,1,131.707359328539,Tuesday,5,2020,4354.115267819467,0.7126557881593875
2020-05-20,1,154.615810165857,Wednesday,5,2020,4319.892543269041,0.7071694079629999
2020-05-22,1,116.111355049368,Friday,5,2020,4310.752555051615,0.7025007074853519
2020-05-23,1,104.170596002353,Saturday,5,2020,4312.430339209425,0.6996120470779198
2020-05-25,1,218.297509087993,Monday,5,2020,4338.447772564168,0.6894844937480271
2020-05-26,1,164.895962217225,Tuesday,5,2020,4357.52410012101,0.6985233975975155
2020-05-27,1,140.038389900589,Wednesday,5,2020,4343.767666345743,0.7041672990730269
2020-05-28,1,162.610966661681,Thursday,5,2020,4371.89495581238,0.7097523956715103
2020-05-29,1,164.888451364355,Friday,5,2020,4374.171786150394,0.7208022420036692
2020-05-30,1,129.565557902098,Saturday,5,2020,4380.147021802811,0.7280805943449825
2020-01-02,2,223.473665201439,Thursday,1,2020,7343.810827779357,1.3142990123693374
2020-01-03,2,203.97823113793,Friday,1,2020,7328.563567976741,1.317702528277211
2020-01-04,2,170.269877099727,Saturday,1,2020,7205.677492487398,1.2984630096988548
2020-01-06,2,197.956430325109,Monday,1,2020,7193.186989581811,1.2861363476333147
2020-01-07,2,240.273357929878,Tuesday,1,2020,7158.6708827229995,1.2685981555167236
2020-01-08,2,229.769056663856,Wednesday,1,2020,7107.571247223135,1.2451425511463634
2020-01-09,2,200.409225539576,Thursday,1,2020,7039.6198464513645,1.2189237799471142
2020-01-10,2,218.992845703912,Friday,1,2020,6976.840776746544,1.204952380678718
2020-01-11,2,190.7265597224,Saturday,1,2020,6929.0831267972035,1.1938734027204831
2020-01-13,2,199.532446396813,Monday,1,2020,6877.3675768479025,1.1855090157956272
2020-01-14,2,186.054725137144,Tuesday,1,2020,6766.441841006763,1.1518220405118371
2020-01-15,2,146.575172685639,Wednesday,1,2020,6649.289625754658,1.1266666075977259
